-28.75 39.75  38328
-28.75 40.25  29897
-28.75 40.75  38919
-28.75 41.25  31168
-28.75 41.75  37422
-28.75 42.25  38517
-28.75 42.75  37230
-28.75 43.25  38297
-28.75 43.75  32191
-28.75 44.25  34186
-28.75 44.75  41007
-28.75 45.25  33294
-28.75 45.75  40794
-28.75 46.25  33210
-28.75 46.75  38056
-28.75 47.25  46606
-28.75 47.75  37225
-28.75 48.25  45434
-28.75 48.75  36088
-28.75 49.25  38786
-28.75 49.75  35242
-28.75 50.25  34860
-28.75 50.75  16559
-28.75 51.25  251
-26.25 37.75  5030
-26.25 38.25  23305
-26.25 38.75  44768
-26.25 39.25  36563
-26.25 39.75  26994
-26.25 40.25  28983
-26.25 40.75  39271
-26.25 41.25  31506
-26.25 41.75  39722
-26.25 42.25  42838
-26.25 42.75  39822
-26.25 43.25  31518
-26.25 43.75  27289
-26.25 44.25  36584
-26.25 44.75  38054
-26.25 45.25  37628
-26.25 45.75  32826
-26.25 46.25  32978
-26.25 46.75  28286
-26.25 47.25  42912
-26.25 47.75  37630
-26.25 48.25  41001
-26.25 48.75  39832
-26.25 49.25  33664
-26.25 49.75  31447
-26.25 50.25  32110
-26.25 50.75  16013
-26.25 51.25  274
-23.75 37.75  12517
-23.75 38.25  47778
-23.75 38.75  39622
-23.75 39.25  33367
-23.75 39.75  26666
-23.75 40.25  41505
-23.75 40.75  30430
-23.75 41.25  26761
-23.75 41.75  46258
-23.75 42.25  41943
-23.75 42.75  42596
-23.75 43.25  34565
-23.75 43.75  32020
-23.75 44.25  37664
-23.75 44.75  35146
-23.75 45.25  37944
-23.75 45.75  42372
-23.75 46.25  35892
-23.75 46.75  27619
-23.75 47.25  43969
-23.75 47.75  43968
-23.75 48.25  41433
-23.75 48.75  42078
-23.75 49.25  37333
-23.75 49.75  48935
-23.75 50.25  40024
-23.75 50.75  18300
-23.75 51.25  339
-21.25 37.75  17451
-21.25 38.25  44609
-21.25 38.75  29248
-21.25 39.25  28828
-21.25 39.75  30886
-21.25 40.25  39743
-21.25 40.75  30816
-21.25 41.25  27963
-21.25 41.75  42059
-21.25 42.25  41264
-21.25 42.75  38105
-21.25 43.25  35955
-21.25 43.75  38806
-21.25 44.25  38945
-21.25 44.75  33477
-21.25 45.25  33274
-21.25 45.75  40277
-21.25 46.25  36124
-21.25 46.75  34419
-21.25 47.25  44056
-21.25 47.75  42241
-21.25 48.25  34391
-21.25 48.75  34315
-21.25 49.25  38291
-21.25 49.75  49720
-21.25 50.25  38983
-21.25 50.75  16131
-21.25 51.25  177
-18.75 37.75  18567
-18.75 38.25  38810
-18.75 38.75  44760
-18.75 39.25  31482
-18.75 39.75  32830
-18.75 40.25  37088
-18.75 40.75  38540
-18.75 41.25  28352
-18.75 41.75  34794
-18.75 42.25  39923
-18.75 42.75  35281
-18.75 43.25  35876
-18.75 43.75  48127
-18.75 44.25  38268
-18.75 44.75  34535
-18.75 45.25  33635
-18.75 45.75  36003
-18.75 46.25  37158
-18.75 46.75  30727
-18.75 47.25  34624
-18.75 47.75  40270
-18.75 48.25  45203
-18.75 48.75  38405
-18.75 49.25  31843
-18.75 49.75  34900
-18.75 50.25  37568
-18.75 50.75  15844
-18.75 51.25  204
-16.25 37.75  15725
-16.25 38.25  27908
-16.25 38.75  39050
