-32.45 46.05  13812
-32.45 46.55  22003
-32.45 47.05  20390
-32.45 47.55  18056
-32.45 48.05  13349
-32.45 48.55  9268
-32.45 49.05  11607
-32.45 49.55  17536
-32.45 50.05  17191
-32.45 50.55  15800
-32.45 51.05  16577
-32.45 51.55  5547
-32.45 52.05  39
-29.95 37.55  2486
-29.95 38.05  19620
-29.95 38.55  16161
-29.95 39.05  19520
-29.95 39.55  22028
-29.95 40.05  22450
-29.95 40.55  18087
-29.95 41.05  17696
-29.95 41.55  21743
-29.95 42.05  18217
-29.95 42.55  16684
-29.95 43.05  21269
-29.95 43.55  20621
-29.95 44.05  12628
-29.95 44.55  24458
-29.95 45.05  21747
-29.95 45.55  21048
-29.95 46.05  13070
-29.95 46.55  26580
-29.95 47.05  25702
-29.95 47.55  24357
-29.95 48.05  14911
-29.95 48.55  17439
-29.95 49.05  17428
-29.95 49.55  19707
-29.95 50.05  19584
-29.95 50.55  20019
-29.95 51.05  20196
-29.95 51.55  6437
-29.95 52.05  38
-27.45 37.55  1511
-27.45 38.05  12521
-27.45 38.55  12980
-27.45 39.05  16078
-27.45 39.55  16325
-27.45 40.05  15856
-27.45 40.55  13893
-27.45 41.05  17860
-27.45 41.55  16171
-27.45 42.05  22670
-27.45 42.55  25178
-27.45 43.05  20042
-27.45 43.55  14612
-27.45 44.05  11119
-27.45 44.55  14788
-27.45 45.05  19331
-27.45 45.55  17237
-27.45 46.05  9639
-27.45 46.55  13084
-27.45 47.05  19195
-27.45 47.55  20816
-27.45 48.05  15991
-27.45 48.55  21228
-27.45 49.05  21472
-27.45 49.55  16790
-27.45 50.05  15703
-27.45 50.55  13172
-27.45 51.05  11637
-27.45 51.55  3222
-27.45 52.05  35
-24.95 37.55  1861
-24.95 38.05  18933
-24.95 38.55  18418
-24.95 39.05  20519
-24.95 39.55  20363
-24.95 40.05  19671
-24.95 40.55  16201
-24.95 41.05  18688
-24.95 41.55  22324
-24.95 42.05  19062
-24.95 42.55  26464
-24.95 43.05  19644
-24.95 43.55  21288
-24.95 44.05  19692
-24.95 44.55  15258
-24.95 45.05  20594
-24.95 45.55  19344
-24.95 46.05  13477
-24.95 46.55  20172
-24.95 47.05  24284
-24.95 47.55  24625
-24.95 48.05  18290
-24.95 48.55  23522
-24.95 49.05  27074
-24.95 49.55  19088
-24.95 50.05  21391
-24.95 50.55  20190
-24.95 51.05  20373
-24.95 51.55  5497
-24.95 52.05  21
-22.45 37.55  1469
-22.45 38.05  17428
-22.45 38.55  17246
-22.45 39.05  15427
-22.45 39.55  16955
-22.45 40.05  19327
-22.45 40.55  15009
-22.45 41.05  11358
-22.45 41.55  16480
-22.45 42.05  10748
-22.45 42.55  15025
-22.45 43.05  14123
-22.45 43.55  17298
-22.45 44.05  13713
-22.45 44.55  13729
-22.45 45.05  19959
-22.45 45.55  12777
-22.45 46.05  14549
-22.45 46.55  22062
-22.45 47.05  23693
-22.45 47.55  17873
-22.45 48.05  19062
-22.45 48.55  24974
-22.45 49.05  18397
-22.45 49.55  13455
-22.45 50.05  16039
-22.45 50.55  17140
-22.45 51.05  18157
-22.45 51.55  4735
-22.45 52.05  17
-19.95 37.55  2105
-19.95 38.05  19854
-19.95 38.55  19690
-19.95 39.05  14605
-19.95 39.55  20804
-19.95 40.05  23552
-19.95 40.55  21063
-19.95 41.05  13678
-19.95 41.55  19697
-19.95 42.05  18948
-19.95 42.55  19927
-19.95 43.05  19323
-19.95 43.55  22253
-19.95 44.05  19517
-19.95 44.55  17453
-19.95 45.05  20394
-19.95 45.55  19771
-19.95 46.05  20077
-19.95 46.55  21080
-19.95 47.05  18645
-19.95 47.55  21390
-19.95 48.05  17450
-19.95 48.55  20328
-19.95 49.05  22368
-19.95 49.55  16560
-19.95 50.05  19425
-19.95 50.55  21132
-19.95 51.05  19879
-19.95 51.55  4562
-19.95 52.05  13
-17.45 37.55  1848
-17.45 38.05  18471
-17.45 38.55  16879
-17.45 39.05  13271
-17.45 39.55  8852
-17.45 40.05  9530
-17.45 40.55  13172
-17.45 41.05  11020
-17.45 41.55  13894
-17.45 42.05  21307
-17.45 42.55  23344
-17.45 43.05  12571
-17.45 43.55  22531
-17.45 44.05  19169
-17.45 44.55  16504
-17.45 45.05  14907
-17.45 45.55  14930
-17.45 46.05  12389
-17.45 46.55  14543
-17.45 47.05  12374
-17.45 47.55  17387
-17.45 48.05  11790
-17.45 48.55  11678
-17.45 49.05  14040
-17.45 49.55  18449
-17.45 50.05  15560
-17.45 50.55  18199
-17.45 51.05  21422
-17.45 51.55  4310
-17.45 52.05  38
-14.95 37.55  1703
-14.95 38.05  20580
-14.95 38.55  16039
-14.95 39.05  19826
-14.95 39.55  8334
-14.95 40.05  12243
-14.95 40.55  15184
-14.95 41.05  16121
-14.95 41.55  20229
-14.95 42.05  17119
-14.95 42.55  25291
-14.95 43.05  19398
-14.95 43.55  21493
-14.95 44.05  19008
-14.95 44.55  20846
-14.95 45.05  21296
-14.95 45.55  22454
-14.95 46.05  14954
-14.95 46.55  22310
-14.95 47.05  23303
-14.95 47.55  23419
-14.95 48.05  18191
-14.95 48.55  18849
-14.95 49.05  21005
-14.95 49.55  20514
-14.95 50.05  17415
-14.95 50.55  20892
-14.95 51.05  22295
-14.95 51.55  5105
-14.95 52.05  37
-12.45 37.55  1464
-12.45 38.05  14184
-12.45 38.55  15142
-12.45 39.05  27491
-12.45 39.55  24341
-12.45 40.05  26747
-12.45 40.55  19777
-12.45 41.05  17663
-12.45 41.55  18438
-12.45 42.05  11453
-12.45 42.55  17606
-12.45 43.05  18205
-12.45 43.55  10832
-12.45 44.05  14947
-12.45 44.55  15948
-12.45 45.05  17861
-12.45 45.55  13323
-12.45 46.05  11668
-12.45 46.55  18475
-12.45 47.05  25568
-12.45 47.55  18710
-12.45 48.05  13812
-12.45 48.55  14380
-12.45 49.05  17983
-12.45 49.55  11147
-12.45 50.05  11394
-12.45 50.55  15994
-12.45 51.05  16237
-12.45 51.55  4666
-12.45 52.05  22
-9.95 37.55  2353
-9.95 38.05  19513
-9.95 38.55  18264
-9.95 39.05  25393
-9.95 39.55  26720
-9.95 40.05  23576
-9.95 40.55  19925
-9.95 41.05  18976
-9.95 41.55  21351
-9.95 42.05  15367
-9.95 42.55  22217
-9.95 43.05  19943
-9.95 43.55  21801
-9.95 44.05  21393
-9.95 44.55  18643
